scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-21T07:32:10.698541+09:00,2026-08-21,RTO,Rentokil Initial plc,US,산업재,2026-08-20,23.34,1339719,1858045.95,0.4809,11745807360,40,60,55,74,49,1,HOLD,-0.36,-4,False,live,,27,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,JKHY,"Jack Henry & Associates, Inc.",US,IT,2026-08-20,165.08,1038578,937138.9,5.3193,11729063936,81,60,50,50,65,2,WATCH,0.84,10,False,live,,80,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AEIS,"Advanced Energy Industries, Inc.",US,IT,2026-08-20,292.62,424237,711671.85,21.31,11719559168,28,60,45,42,36,0,AVOID,-0.66,-8,True,live,,30,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,FHN,First Horizon Corporation,US,금융,2026-08-20,24.68,3519386,4979109.3,0.4882,11692820480,43,60,55,70,57,1,HOLD,0.2,2,False,live,,69,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,BTSG,"BrightSpring Health Services, Inc. Commo",US,제약/바이오,2026-08-20,59.53,1828612,2920905.6,2.6524,11778857984,28,65,40,58,38,0,AVOID,-0.48,-6,True,live,,32,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,TEM,"Tempus AI, Inc.",US,제약/바이오,2026-08-20,66.65,20106773,6381443.65,4.1752,12025976832,62,65,53,42,60,1,HOLD,0.61,7,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,BJ,"BJ's Wholesale Club Holdings, Inc.",US,소매,2026-08-20,91.3,5157665,1658563.25,2.4371,11658319872,35,60,50,50,42,0,AVOID,-0.37,-4,True,live,,34,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,SMTC,Semtech Corporation,US,반도체,2026-08-20,124.88,2009767,2309103.35,11.4118,11632717824,50,65,53,42,46,0,HOLD,-0.29,-3,False,live,,36,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AR,Antero Resources Corporation,US,에너지,2026-08-20,37.66,2975547,4287347.35,1.1536,11578152960,80,60,55,78,66,2,WATCH,0.58,7,False,live,,48,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,GMED,"Globus Medical, Inc.",US,제약/바이오,2026-08-20,85.67,847927,1409176.35,2.8394,11502218240,80,65,60,58,70,2,WATCH,0.81,10,False,live,,84,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,AHR,"American Healthcare REIT, Inc.",US,리츠,2026-08-20,55.77,2287527,2555106.35,1.4788,12157791232,62,60,58,43,60,1,HOLD,0.56,7,False,live,,75,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,TFII,TFI International Inc.,US,산업재,2026-08-20,139.52,145874,355413.7,4.0611,11467572224,57,60,63,66,56,0,HOLD,0.11,1,False,live,,32,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,WTRG,"Essential Utilities, Inc.",US,유틸리티,2026-08-20,40.41,1823413,1998845.65,0.9243,11467492352,91,60,60,37,65,1,HOLD,0.86,10,False,live,,63,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,XPEV,XPeng Inc.,US,소비재,2026-08-20,12.0,5995229,6259781.45,0.3864,11479122944,37,60,60,50,49,0,HOLD,-0.28,-3,False,live,,49,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,SCI,Service Corporation International,US,소비재,2026-08-20,83.37,632866,1102178.3,1.9307,11362629632,44,60,48,50,53,1,HOLD,0.21,3,False,live,,77,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,ALGN,"Align Technology, Inc.",US,제약/바이오,2026-08-20,158.94,836747,951687.35,6.3057,11291074560,31,65,63,74,58,2,HOLD,0.1,1,False,live,,76,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,TECH,Bio-Techne Corporation,US,제약/바이오,2026-08-20,72.28,3540096,3524834.8,0.2843,11261993984,73,65,71,51,65,2,WATCH,0.82,10,False,live,,60,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,KNX,Knight-Swift Transportation Holdings Inc,US,산업재,2026-08-20,69.41,2078943,3570357.15,2.1486,11296894976,50,60,63,51,51,0,HOLD,0.02,0,False,live,,35,NEUTRAL
2026-08-21T07:32:10.698541+09:00,2026-08-21,APC,ARKO Petroleum Corp. Class A Common Stoc,US,에너지,2026-08-20,18.76,128585,157204.25,0.7449,1549017472,40,60,55,58,56,1,HOLD,0.03,0,False,live,,78,NEUTRAL
